"Name","Korean","English","Japanese","SimplifiedChinese","Spanish","Russian","PortugueseBrazil","German","French","Polish","TraditionalChinese","Turkish"
"Info.Riding","탈것","Riding","乗り物","坐骑","Montura","Транспорт","Montaria","Reittier","Monture","Wierzchowiec","坐騎","Binek"
"Info.Pet","펫","Pet","ペット","宠物","Mascota","Питомец","Mascote","Haustier","Familier","Zwierzak","寵物","Evcil hayvan"
"Info.FirstWeapon","무기 1","Weapon 1","武器 1","武器 1","Arma 1","Оружие 1","Arma 1","Waffe 1","Arme 1","Broń 1","武器 1","Silah 1"
"Info.SecondWeapon","무기 2","Weapon 2","武器 2","武器 2","Arma 2","Оружие 2","Arma 2","Waffe 2","Arme 2","Broń 2","武器 2","Silah 2"
"Info.ThirdWeapon","무기 3","Weapon 3","武器 3","武器 3","Arma 3","Оружие 3","Arma 3","Waffe 3","Arme 3","Broń 3","武器 3","Silah 3"
"Info.Achievement","업적","Achievement","実績","成就","Logros","Достижения","Conquistas","Erfolge","Succès","Osiągnięcia","成就","Başarımlar"
"Info.Tier","티어","Tier","ティア","段位","Rango","Ранг","Patente","Rang","Rang","Ranga","段位","Kademe"
"Info.WinCount","승리 횟수","Win Count","勝利数","胜利次数","Victorias","Победы","Vitórias","Siege","Victoires","Zwycięstwa","勝利次數","Zafer sayısı"
"Info.Ranking","순위","Ranking","ランキング","排名","Clasificación","Рейтинг","Classificação","Rangliste","Classement","Ranking","排名","Sıralama"
"Info.ComingSoon","준비 중","Coming Soon","準備中","即将推出","Próximamente","Скоро","Em breve","Demnächst","Bientôt","Wkrótce","即將推出","Yakında"
"Info.Points","포인트","Points","ポイント","点数","Puntos","Очки","Pontos","Punkte","Points","Punkty","點數","Puan"
"Info.Result","결과","Result","結果","结果","Resultado","Итог","Resultado","Ergebnis","Résultat","Wynik","結果","Sonuç"
"Info.Offense","공격","Offense","攻撃","攻击","Ataque","Атака","Ataque","Angriff","Attaque","Atak","攻擊","Saldırı"
"Info.Defense","방어","Defense","防御","防御","Defensa","Защита","Defesa","Verteidigung","Défense","Obrona","防禦","Savunma"
"Info.Resistance","저항","Resistance","耐性","抗性","Resistencia","Сопротивление","Resistência","Resistenz","Résistance","Odporność","抗性","Direnç"
"Info.SoulForce","판도라 포스","Pandora Force","パンドラフォース","潘多拉之力","Fuerza Pandora","Сила Пандоры","Força Pandora","Pandora-Kraft","Force Pandora","Moc Pandory","潘朵拉之力","Pandora gücü"
"Info.Resource","자원","Resource","リソース","资源","Recursos","Ресурсы","Recursos","Ressourcen","Ressources","Zasoby","資源","Kaynak"
"Info.Agility","민첩","Agility","敏捷","敏捷","Agilidad","Ловкость","Agilidade","Geschick","Agilité","Zwinność","敏捷","Çeviklik"
"Info.Strength","힘","Strength","力","力量","Fuerza","Сила","Força","Stärke","Force","Siła","力量","Güç"
"Info.Intelligence","지능","Intelligence","知力","智力","Inteligencia","Интеллект","Inteligência","Intelligenz","Intelligence","Inteligencja","智力","Zekâ"
"Info.Critical","치명타","Critical","クリティカル","暴击","Crítico","Критический удар","Crítico","Kritisch","Critique","Trafienie krytyczne","暴擊","Kritik"
"Info.Armor","방어력","Armor","装甲","护甲","Armadura","Броня","Armadura","Rüstung","Armure","Pancerz","護甲","Zırh"
"Info.Recovery","회복","Recovery","回復","恢复","Recuperación","Восстановление","Recuperação","Regeneration","Récupération","Regeneracja","恢復","İyileşme"
"Info.Shield","보호막","Shield","シールド","护盾","Escudo","Щит","Escudo","Schild","Bouclier","Tarcza","護盾","Kalkan"
"Info.Burn","화상","Burn","火傷","灼烧","Quemadura","Ожог","Queimadura","Verbrennung","Brûlure","Oparzenie","灼燒","Yanık"
"Info.Frostbite","동상","Frostbite","凍傷","冻伤","Congelación","Обморожение","Congelamento","Erfrierung","Gelure","Odmrożenie","凍傷","Donma"
"Info.ElectricShock","감전","Electric Shock","感電","触电","Descarga","Электрошок","Choque elétrico","Stromschlag","Électrocution","Porażenie","觸電","Elektrik şoku"
"Info.FirstPandora","퍼스트 판도라","First Pandora","ファーストパンドラ","第一潘多拉","Primera Pandora","Первая Пандора","Primeira Pandora","Erste Pandora","Première Pandora","Pierwsza Pandora","第一潘朵拉","Birinci Pandora"
"Info.SecondPandora","세컨드 판도라","Second Pandora","セカンドパンドラ","第二潘多拉","Segunda Pandora","Вторая Пандора","Segunda Pandora","Zweite Pandora","Deuxième Pandora","Druga Pandora","第二潘朵拉","İkinci Pandora"
"Info.ThirdPandora","써드 판도라","Third Pandora","サードパンドラ","第三潘多拉","Tercera Pandora","Третья Пандора","Terceira Pandora","Dritte Pandora","Troisième Pandora","Trzecia Pandora","第三潘朵拉","Üçüncü Pandora"
"Status.Remaining","잔여","Left","残り","剩余","Restan","Остаток","Restam","Übrig","Restants","Zostało","剩餘","Kalan"
"Status.Final","최종","Final","最終","最终","Final","Итог","Final","Gesamt","Final","Wynik","最終","Son"
"Status.InvestmentBonus","투자 + 보너스","Invested + bonus","投資 + ボーナス","投入 + 加成","Invertido + bonificación","Вложено + бонус","Investido + bônus","Investiert + Bonus","Investi + bonus","Wydane + premia","投入 + 加成","Yatırım + bonus"
"Status.Increase","포인트 투자","Invest a point","ポイントを振る","投入点数","Invertir un punto","Вложить очко","Investir um ponto","Punkt investieren","Investir un point","Wydaj punkt","投入點數","Puan yatır"
"Status.Decrease","포인트 회수","Refund a point","ポイントを戻す","返还点数","Recuperar un punto","Вернуть очко","Recuperar um ponto","Punkt zurücknehmen","Récupérer un point","Odzyskaj punkt","返還點數","Puanı geri al"
"Info.Health","체력","Health","体力","生命","Salud","Здоровье","Vida","Gesundheit","Santé","Zdrowie","生命","Can"
"Info.Mana","마나","Mana","マナ","法力","Maná","Мана","Mana","Mana","Mana","Mana","法力","Mana"
"Info.Stamina","스태미나","Stamina","スタミナ","耐力","Energía","Выносливость","Vigor","Ausdauer","Endurance","Wytrzymałość","耐力","Dayanıklılık"
"Info.AttackSpeed","공격 속도","Attack Speed","攻撃速度","攻击速度","Velocidad de ataque","Скорость атаки","Velocidade de ataque","Angriffstempo","Vitesse d’attaque","Szybkość ataku","攻擊速度","Saldırı hızı"
"Info.MovementSpeed","이동 속도","Movement Speed","移動速度","移动速度","Velocidad","Скорость движения","Velocidade","Bewegungstempo","Vitesse","Szybkość ruchu","移動速度","Hareket hızı"
"Info.Arcane","비전","Arcane","秘術","奥术","Arcano","Мистика","Arcano","Arkan","Arcanes","Arkany","奧術","Gizem"
"Info.Weapon","무기","Weapon","武器","武器","Arma","Оружие","Arma","Waffe","Arme","Broń","武器","Silah"
"Info.Equipment","장비","Equipment","装備","装备","Equipo","Снаряжение","Equipamento","Ausrüstung","Équipement","Wyposażenie","裝備","Donanım"
"Info.Consumable","소모품","Consumable","消耗品","消耗品","Consumibles","Расходники","Consumíveis","Verbrauch","Consommables","Zużywalne","消耗品","Tüketilebilir"
"Info.Valuable","귀중품","Valuable","貴重品","贵重品","Objetos valiosos","Ценности","Valiosos","Wertsachen","Objets précieux","Kosztowności","貴重品","Değerli"
"Info.Offensive","공격형","Offensive","攻撃型","攻击型","Ataque","Атака","Ataque","Angriff","Attaque","Atak","攻擊型","Saldırı"
"Info.Defensive","방어형","Defensive","防御型","防御型","Defensa","Защита","Defesa","Abwehr","Défense","Obrona","防禦型","Savunma"
"Info.Support","지원형","Support","支援型","辅助型","Apoyo","Поддержка","Suporte","Hilfe","Soutien","Wsparcie","輔助型","Destek"
"Info.Special","특수형","Special","特殊型","特殊型","Especial","Особые","Especial","Spezial","Spécial","Specjalne","特殊型","Özel"
"Info.Search","이름으로 검색","Search by name","名前で検索","按名称搜索","Buscar por nombre","Поиск по имени","Buscar por nome","Nach Namen suchen","Rechercher par nom","Szukaj po nazwie","依名稱搜尋","Ada göre ara"
"Info.Combine","중복된 무기나 장비를 합쳐 강화할 수 있습니다.","Combine duplicate weapons or equipment to upgrade them.","重複する武器や装備を合成して強化できます。","合成重复的武器或装备进行强化。","Combina equipo duplicado para mejorarlo.","Объединяйте одинаковое снаряжение для улучшения.","Combine equipamentos repetidos para aprimorá-los.","Gleiche Ausrüstung zum Verbessern kombinieren.","Combinez les équipements en double pour les améliorer.","Łącz powtórzony sprzęt, aby go ulepszać.","合成重複的武器或裝備進行強化。","Aynı donanımları birleştirerek geliştir."
"Info.Windmill","풍차","Windmill","風車","风车","Molino","Мельница","Moinho","Windmühle","Moulin","Wiatrak","風車","Yel değirmeni"
"Info.Dome","돔","Dome","ドーム","穹顶","Cúpula","Купол","Cúpula","Kuppel","Dôme","Kopuła","穹頂","Kubbe"
"Info.Temple","사원","Temple","神殿","神殿","Templo","Храм","Templo","Tempel","Temple","Świątynia","神殿","Tapınak"
"Info.AreaMap","전체 지도","Area Map","全体マップ","全图","Mapa general","Общая карта","Mapa geral","Gesamtkarte","Carte générale","Mapa ogólna","全圖","Genel harita"
"Paint.Title","페인트 작업실","Paint studio","ペイント工房","绘画工坊","Taller de pintura","Мастерская рисунка","Ateliê de pintura","Malatelier","Atelier de peinture","Pracownia malarska","繪畫工坊","Boyama atölyesi"
"Paint.Canvas","그림판","Canvas","キャンバス","画布","Lienzo","Холст","Tela","Leinwand","Toile","Płótno","畫布","Tuval"
"Paint.FacePreview","얼굴 미리보기","Face preview","顔のプレビュー","脸部预览","Vista del rostro","Просмотр лица","Prévia do rosto","Gesichtsvorschau","Aperçu du visage","Podgląd twarzy","臉部預覽","Yüz önizlemesi"
"Paint.SpeechPreview","말풍선 미리보기","Speech bubble preview","吹き出しプレビュー","气泡预览","Vista del bocadillo","Просмотр облачка","Prévia do balão","Sprechblasenvorschau","Aperçu de la bulle","Podgląd dymku","氣泡預覽","Konuşma balonu önizlemesi"
"Paint.Hint","미리보기는 자동으로 갱신됩니다. 적용 버튼으로 확정하세요.","Preview updates as you draw. Use an apply button to confirm.","描くと自動更新。適用ボタンで確定してください。","绘画时自动预览，点击应用确认。","La vista se actualiza al dibujar. Pulsa aplicar para confirmar.","Просмотр обновляется при рисовании. Подтвердите кнопкой применения.","A prévia acompanha o desenho. Confirme com aplicar.","Vorschau aktualisiert sich beim Malen. Mit Anwenden bestätigen.","L’aperçu suit le dessin. Confirmez avec Appliquer.","Podgląd zmienia się podczas rysowania. Potwierdź przyciskiem.","繪畫時自動預覽，點擊套用確認。","Çizdikçe önizleme güncellenir. Uygula ile onayla."
"Paint.ApplyFace","얼굴에 적용","Apply to face","顔に適用","应用到脸部","Aplicar al rostro","Нанести на лицо","Aplicar ao rosto","Auf Gesicht anwenden","Appliquer au visage","Nałóż na twarz","套用至臉部","Yüze uygula"
"Paint.Share","말풍선으로 표시","Show in speech bubble","吹き出しに表示","显示为气泡","Mostrar en bocadillo","Показать в облачке","Mostrar em balão","Als Sprechblase zeigen","Afficher dans une bulle","Pokaż w dymku","顯示為氣泡","Balonda göster"
"Profile.LevelShort","Lv.","Lv.","Lv.","等级","Nv.","Ур.","Nv.","Lv.","Niv.","Poz.","等級","Sv."
"Profile.ExperienceShort","EXP","EXP","EXP","经验","EXP","ОП","EXP","EP","EXP","PD","經驗","DP"
"Profile.HealthShort","HP","HP","HP","生命","PV","ОЗ","PV","LP","PV","PŻ","生命","CP"
"Profile.ManaShort","MP","MP","MP","法力","PM","ОМ","PM","MP","PM","PM","法力","MP"
"Profile.SelectAchievement","대표 업적으로 선택","Select as profile achievement","プロフィールの実績に設定","设为个人成就徽章","Elegir insignia de perfil","Выбрать значок профиля","Escolher conquista do perfil","Als Profilabzeichen wählen","Choisir comme insigne de profil","Ustaw jako odznakę profilu","設為個人成就徽章","Profil başarımı olarak seç"
"Profile.AchievementsLoading","업적 정보를 불러오는 중입니다","Loading achievements…","実績を読み込み中…","正在加载成就…","Cargando logros…","Загрузка достижений…","Carregando conquistas…","Erfolge werden geladen…","Chargement des succès…","Wczytywanie osiągnięć…","正在載入成就…","Başarımlar yükleniyor…"
"Profile.AchievementsUnavailable","현재 표시할 업적 정보가 없습니다","No achievement data available","表示できる実績情報がありません","暂无可显示的成就信息","No hay datos de logros disponibles","Нет доступных данных о достижениях","Nenhum dado de conquista disponível","Keine Erfolgsdaten verfügbar","Aucune donnée de succès disponible","Brak dostępnych danych osiągnięć","暫無可顯示的成就資訊","Gösterilecek başarım bilgisi yok"
"Pandora.Loadout","판도라 장착","Pandora Loadout","パンドラ装備","潘多拉装备","Equipo Pandora","Снаряжение Пандоры","Equipar Pandora","Pandora-Ausrüstung","Équipement Pandora","Wyposażenie Pandory","潘朵拉裝備","Pandora donanımı"
"Pandora.LinkedWeapons","연결 무기","Linked weapons","連携武器","关联武器","Armas vinculadas","Связанное оружие","Armas vinculadas","Verknüpfte Waffen","Armes associées","Powiązane bronie","關聯武器","Bağlı silahlar"
"Pandora.RequiredWeapons","사용 무기","Weapon types","対応武器","适用武器","Tipos de arma","Типы оружия","Tipos de arma","Waffentypen","Types d’armes","Typy broni","適用武器","Silah türleri"
"Pandora.Empty","미장착","Not equipped","未装備","未装备","Sin equipar","Не экипировано","Não equipado","Nicht ausgerüstet","Non équipé","Nie wyposażono","未裝備","Kuşanılmadı"
"Pandora.Owned","보유","Owned","所持","已拥有","En propiedad","В наличии","Adquirido","Im Besitz","Possédé","Posiadane","已擁有","Sahip olunan"
"Pandora.Unowned","미보유","Not owned","未所持","未拥有","Sin adquirir","Не получено","Não adquirido","Nicht im Besitz","Non possédé","Nieposiadane","未擁有","Sahip olunmayan"
"Pandora.EquipHint","장착 슬롯을 선택한 뒤 판도라를 선택하세요","Select a slot, then choose a Pandora","装備スロットを選び、パンドラを選択してください","先选择装备栏位，再选择潘多拉","Selecciona una ranura y luego una Pandora","Выберите ячейку, затем Пандору","Selecione um espaço e depois uma Pandora","Wähle einen Platz und dann eine Pandora","Choisissez un emplacement, puis une Pandora","Wybierz miejsce, a następnie Pandorę","先選擇裝備欄位，再選擇潘朵拉","Bir yuva seç, ardından bir Pandora seç"
"Pandora.DetailHint","마우스를 올려 상세 정보를 확인하세요","Hover to view details","カーソルを合わせると詳細を表示","悬停查看详细信息","Pasa el cursor para ver detalles","Наведите курсор для подробностей","Passe o cursor para ver detalhes","Für Details mit der Maus berühren","Survolez pour voir les détails","Najedź kursorem, aby zobaczyć szczegóły","懸停查看詳細資訊","Ayrıntılar için imleci üzerine getir"
"Pandora.Level","Lv. {Level}","Lv. {Level}","Lv. {Level}","等级 {Level}","Nv. {Level}","Ур. {Level}","Nv. {Level}","Lv. {Level}","Niv. {Level}","Poz. {Level}","等級 {Level}","Sv. {Level}"
"Pandora.FirstShort","퍼스트","First","ファースト","第一","Primera","Первая","Primeira","Erste","Première","Pierwsza","第一","Birinci"
"Pandora.SecondShort","세컨드","Second","セカンド","第二","Segunda","Вторая","Segunda","Zweite","Deuxième","Druga","第二","İkinci"
"Pandora.ThirdShort","써드","Third","サード","第三","Tercera","Третья","Terceira","Dritte","Troisième","Trzecia","第三","Üçüncü"
"Pandora.Expand","펼치기","Expand","展開","展开","Desplegar","Развернуть","Expandir","Ausklappen","Déployer","Rozwiń","展開","Genişlet"
"Pandora.Collapse","접기","Collapse","閉じる","收起","Plegar","Свернуть","Recolher","Einklappen","Replier","Zwiń","收起","Daralt"
"Pandora.GrowthShort","성장","Growth","成長","成长","Mejora","Развитие","Evolução","Wachstum","Évolution","Rozwój","成長","Gelişim"
"Pandora.ExpandHint","오른쪽으로 판도라 성장 펼치기","Expand Pandora growth to the right","右側にパンドラ成長を展開","向右展开潘多拉成长","Desplegar mejoras de Pandora a la derecha","Развернуть развитие Пандоры справа","Expandir evolução de Pandora à direita","Pandora-Wachstum rechts ausklappen","Déployer l’évolution de Pandora à droite","Rozwiń rozwój Pandory po prawej","向右展開潘朵拉成長","Pandora gelişimini sağa genişlet"
"Pandora.CollapseHint","성장 트리를 접고 판도라 목록 보기","Collapse growth and return to the Pandora list","成長を閉じてパンドラ一覧へ","收起成长树并返回潘多拉列表","Plegar mejoras y volver a la lista","Свернуть развитие и вернуться к списку","Recolher evolução e voltar à lista","Wachstum einklappen und Liste anzeigen","Replier l’évolution et revenir à la liste","Zwiń rozwój i wróć do listy","收起成長樹並返回潘朵拉清單","Gelişimi daralt ve Pandora listesine dön"
"Pandora.GrowthTitle","판도라 성장","Pandora Growth","パンドラ成長","潘多拉成长","Mejora de Pandora","Развитие Пандоры","Evolução de Pandora","Pandora-Wachstum","Évolution de Pandora","Rozwój Pandory","潘朵拉成長","Pandora gelişimi"
"Pandora.GrowthSubtitle","장착한 판도라와 함께, 다음 힘을 깨우세요","Awaken the next power of your Pandora","装備中のパンドラと、次の力を目覚めさせよう","唤醒潘多拉的下一重力量","Despierta el siguiente poder de tu Pandora","Пробудите новую силу Пандоры","Desperte o próximo poder de sua Pandora","Erwecke die nächste Kraft deiner Pandora","Éveillez le prochain pouvoir de votre Pandora","Obudź kolejną moc swojej Pandory","喚醒潘朵拉的下一重力量","Pandora’nın bir sonraki gücünü uyandır"
"Pandora.Points","소울 더스트: {0}","Soul Dust: {0}","ソウルダスト: {0}","灵魂之尘：{0}","Polvo de alma: {0}","Пыль душ: {0}","Pó de alma: {0}","Seelenstaub: {0}","Poussière d’âme : {0}","Pył duszy: {0}","靈魂之塵：{0}","Ruh tozu: {0}"
"Pandora.GrowthHint","왼쪽 클릭을 길게 눌러 성장 · 마우스를 올려 상세 보기","Hold left click to grow · Hover for details","左クリック長押しで成長 · カーソルを合わせて詳細","长按鼠标左键成长 · 悬停查看详情","Mantén clic izquierdo para mejorar · Pasa el cursor para detalles","Удерживайте ЛКМ для развития · Наведите курсор для деталей","Segure o clique esquerdo para evoluir · Passe o cursor para detalhes","Linksklick halten zum Verbessern · Mauszeiger für Details","Maintenez le clic gauche pour évoluer · Survolez pour les détails","Przytrzymaj lewy przycisk, aby rozwinąć · Najedź, aby zobaczyć szczegóły","長按滑鼠左鍵成長 · 懸停查看詳情","Geliştirmek için sol tıkla basılı tut · Ayrıntılar için üzerine gel"
"Pandora.GrowthReady","성장 가능","Ready to grow","成長可能","可成长","Mejora disponible","Можно улучшить","Pode evoluir","Verbesserung möglich","Évolution possible","Można rozwinąć","可成長","Geliştirilebilir"
"Pandora.Reset","성장 초기화","Reset growth","成長をリセット","重置成长","Reiniciar mejoras","Сбросить развитие","Redefinir evolução","Wachstum zurücksetzen","Réinitialiser l’évolution","Zresetuj rozwój","重置成長","Gelişimi sıfırla"
"Pandora.ResetHint","투자한 소울 더스트를 돌려받고 성장을 초기화합니다","Refund invested Soul Dust and reset growth","投資したソウルダストを返還し、成長をリセット","返还投入的灵魂之尘并重置成长","Recupera el polvo de alma invertido y reinicia las mejoras","Вернуть вложенную пыль душ и сбросить развитие","Reembolsa o pó de alma investido e redefine a evolução","Investierten Seelenstaub erstatten und Wachstum zurücksetzen","Récupérer la poussière d’âme investie et réinitialiser l’évolution","Odzyskaj zainwestowany pył duszy i zresetuj rozwój","返還投入的靈魂之塵並重置成長","Harcanan ruh tozunu geri al ve gelişimi sıfırla"
"Pandora.Equip","장착","Equip","装備","装备","Equipar","Надеть","Equipar","Ausrüsten","Équiper","Wyposaż","裝備","Kuşan"
"Pandora.Unequip","장착 해제","Unequip","装備解除","卸下","Quitar","Снять","Desequipar","Ablegen","Retirer","Zdejmij","卸下","Çıkar"
"HUD.Combat","전투 기술","Combat arts","戦闘スキル","战斗技能","Técnicas de combate","Боевые навыки","Técnicas de combate","Kampfkünste","Arts du combat","Sztuki walki","戰鬥技能","Savaş teknikleri"
"HUD.Scoreboard","점수판","Scoreboard","スコアボード","记分板","Marcador","Таблица счёта","Placar","Punktestand","Tableau des scores","Tablica wyników","計分板","Skor tablosu"
"HUD.ChatActive","메시지를 입력하세요","Enter a message","メッセージを入力","输入消息","Escribe un mensaje","Введите сообщение","Digite uma mensagem","Nachricht eingeben","Saisissez un message","Wpisz wiadomość","輸入訊息","Mesaj yazın"
"HUD.ChatIdle","Enter · 채팅","Enter · Chat","Enter · チャット","Enter · 聊天","Enter · Chat","Enter · Чат","Enter · Chat","Enter · Chat","Entrée · Chat","Enter · Czat","Enter · 聊天","Enter · Sohbet"
"HUD.LobbyHint","L · 대기실 열기","L · Open lobby","L · ロビーを開く","L · 打开大厅","L · Abrir sala","L · Открыть лобби","L · Abrir sala","L · Lobby öffnen","L · Ouvrir le salon","L · Otwórz poczekalnię","L · 開啟大廳","L · Lobiyi aç"
"Product./Game/Pandora/Data/DA_Pandora_Angel.DA_Pandora_Angel.Name","천사","Angel","天使","天使","Ángel","Ангел","Anjo","Engel","Ange","Anioł","天使","Melek"
"Product./Game/Pandora/Data/DA_Pandora_Angel.DA_Pandora_Angel.Description","미카엘의 광휘가 남긴 흔적. 하늘이 아직 에라디온을 버리지 않았다고 믿는 이에게만 응답한다고 전해집니다.","A remnant of Michael’s radiance, said to answer only those who still believe the sky has not abandoned Eradion.","ミカエルの輝きの残滓。天がまだエラディオンを見捨てていないと信じる者にだけ応えるといいます。","米迦勒光辉的残迹，据说只回应仍相信天空尚未抛弃埃拉迪恩的人。","Un vestigio del resplandor de Michael que solo responde a quienes aún creen que el cielo no ha abandonado Eradion.","Остаток сияния Михаэля. Говорят, он отвечает лишь тем, кто верит, что небеса ещё не покинули Эрадион.","Um vestígio do esplendor de Michael que só responde a quem ainda acredita que o céu não abandonou Eradion.","Ein Rest von Michaels Glanz, der nur jenen antworten soll, die glauben, der Himmel habe Eradion noch nicht verlassen.","Un vestige de l’éclat de Michael, qui ne répondrait qu’à ceux qui croient encore que le ciel n’a pas abandonné Eradion.","Pozostałość blasku Michaela, która podobno odpowiada tylko tym, którzy wierzą, że niebo nie opuściło Eradionu.","米迦勒光輝的殘跡，據說只回應仍相信天空尚未拋棄艾拉迪恩的人。","Michael’ın ışığından bir kalıntı. Yalnızca gökyüzünün Eradion’u terk etmediğine hâlâ inananlara yanıt verdiği söylenir."
"Product./Game/Pandora/Data/DA_Pandora_AzureDragon.DA_Pandora_AzureDragon.Name","청룡","Azure Dragon","青龍","青龙","Dragón Azur","Лазурный дракон","Dragão Azul","Azurdrache","Dragon azur","Lazurowy Smok","青龍","Mavi Ejderha"
"Product./Game/Pandora/Data/DA_Pandora_AzureDragon.DA_Pandora_AzureDragon.Description","청룡의 전설에서 태어난 푸른 소울 더스트. 강의 고요함과 고대 수호자의 긍지를 품고 있습니다.","A blue soul-dust born from the legend of the Azure Dragon, carrying the calm of rivers and the pride of ancient guardians.","青龍の伝説から生まれた青いソウルダスト。川の静けさと古の守護者の誇りを宿しています。","诞生于青龙传说的蓝色灵魂尘埃，蕴含河流的宁静与古老守护者的骄傲。","Un polvo de alma azul nacido de la leyenda del Dragón Azur, con la calma de los ríos y el orgullo de antiguos guardianes.","Синяя пыль душ, рождённая легендой о Лазурном драконе. В ней покой рек и гордость древних хранителей.","Uma poeira de alma azul nascida da lenda do Dragão Azul, com a calma dos rios e o orgulho de antigos guardiões.","Blauer Seelenstaub aus der Legende des Azurdrachen, erfüllt von der Ruhe der Flüsse und dem Stolz alter Wächter.","Une poussière d’âme bleue née de la légende du Dragon azur, portant le calme des rivières et la fierté des anciens gardiens.","Błękitny pył dusz z legendy o Lazurowym Smoku, niosący spokój rzek i dumę pradawnych strażników.","誕生於青龍傳說的藍色靈魂塵埃，蘊含河流的寧靜與古老守護者的驕傲。","Mavi Ejderha efsanesinden doğan mavi bir ruh tozu. Nehirlerin huzurunu ve kadim muhafızların gururunu taşır."
"Product./Game/Pandora/Data/DA_Pandora_Berserker.DA_Pandora_Berserker.Name","광전사","Berserker","狂戦士","狂战士","Berserker","Берсерк","Berserker","Berserker","Berserker","Berserker","狂戰士","Berserker"
"Product./Game/Pandora/Data/DA_Pandora_Berserker.DA_Pandora_Berserker.Description","두려움도 작별 인사도 없이 신인전쟁에 뛰어든 이름 없는 전사들이 빚어낸 격렬한 판도라입니다.","A violent Pandora shaped by nameless warriors who charged into the Divine-Human War without fear or farewell.","恐れも別れの言葉もなく神人戦争へ突き進んだ、名もなき戦士たちが形作った激しいパンドラです。","由无名战士塑造的狂暴潘多拉，他们无惧无别地冲入了神人战争。","Una Pandora violenta forjada por guerreros anónimos que se lanzaron a la Guerra Divino-Humana sin miedo ni despedida.","Яростная Пандора безымянных воинов, бросившихся в войну богов и людей без страха и прощания.","Uma Pandora violenta moldada por guerreiros anônimos que avançaram na Guerra Divino-Humana sem medo nem despedida.","Eine wilde Pandora, geformt von namenlosen Kriegern, die ohne Furcht oder Abschied in den Krieg der Götter und Menschen zogen.","Une Pandora violente façonnée par des guerriers anonymes partis à la guerre des dieux et des hommes sans peur ni adieux.","Gwałtowna Pandora bezimiennych wojowników, którzy ruszyli na wojnę bogów i ludzi bez lęku i pożegnania.","由無名戰士塑造的狂暴潘朵拉，他們無懼無別地衝入了神人戰爭。","Tanrı-İnsan Savaşı’na korkusuzca ve vedasız atılan isimsiz savaşçıların şekillendirdiği vahşi bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Blood.DA_Pandora_Blood.Name","피","Blood","血","鲜血","Sangre","Кровь","Sangue","Blut","Sang","Krew","鮮血","Kan"
"Product./Game/Pandora/Data/DA_Pandora_Blood.DA_Pandora_Blood.Description","피의 이름 아래 맺어진 모든 맹세와 배신, 치러진 대가를 기억하는 진홍빛 판도라입니다.","A crimson Pandora that remembers every oath, betrayal, and price ever paid beneath the name of blood.","血の名のもとに交わされたすべての誓いと裏切り、支払われた代償を記憶する深紅のパンドラです。","猩红色的潘多拉，记得以血之名许下的每个誓言、每次背叛与付出的所有代价。","Una Pandora carmesí que recuerda cada juramento, traición y precio pagado en nombre de la sangre.","Багровая Пандора, помнящая каждую клятву, предательство и цену, уплаченную во имя крови.","Uma Pandora carmesim que lembra cada juramento, traição e preço pago em nome do sangue.","Eine purpurrote Pandora, die jeden Schwur, jeden Verrat und jeden im Namen des Blutes gezahlten Preis erinnert.","Une Pandora cramoisie qui se souvient de chaque serment, trahison et prix payé au nom du sang.","Karmazynowa Pandora pamiętająca każdą przysięgę, zdradę i cenę zapłaconą w imię krwi.","猩紅色的潘朵拉，記得以血之名許下的每個誓言、每次背叛與付出的所有代價。","Kan adına edilen her yemini, yapılan her ihaneti ve ödenen her bedeli hatırlayan kızıl bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Camera.DA_Pandora_Camera.Name","카메라","Camera","カメラ","相机","Cámara","Камера","Câmera","Kamera","Caméra","Aparat","相機","Kamera"
"Product./Game/Pandora/Data/DA_Pandora_Camera.DA_Pandora_Camera.Description","에라드의 감시 실험에서 태어난 기묘한 판도라. 잊혔어야 할 순간들을 간직하고 있습니다.","A strange Pandora born from Erad’s surveillance experiments, preserving moments that should have been forgotten.","エラドの監視実験から生まれた奇妙なパンドラ。忘れ去られるはずだった瞬間を保存しています。","诞生于埃拉德监视实验的奇异潘多拉，保存着本该被遗忘的瞬间。","Una extraña Pandora nacida de los experimentos de vigilancia de Erad, que conserva momentos que debieron olvidarse.","Странная Пандора, рождённая опытами Эрада по наблюдению. Она хранит мгновения, которым следовало быть забытыми.","Uma estranha Pandora nascida dos experimentos de vigilância de Erad, preservando momentos que deveriam ter sido esquecidos.","Eine seltsame Pandora aus Erads Überwachungsexperimenten, die Momente bewahrt, die hätten vergessen werden sollen.","Une étrange Pandora née des expériences de surveillance d’Erad, conservant des instants qui auraient dû être oubliés.","Dziwna Pandora z eksperymentów obserwacyjnych Erada, zachowująca chwile, które powinny zostać zapomniane.","誕生於艾拉德監視實驗的奇異潘朵拉，保存著本該被遺忘的瞬間。","Erad’ın gözetleme deneylerinden doğan tuhaf bir Pandora. Unutulması gereken anları saklar."
"Product./Game/Pandora/Data/DA_Pandora_Chain.DA_Pandora_Chain.Name","사슬","Chain","鎖","锁链","Cadena","Цепь","Corrente","Kette","Chaîne","Łańcuch","鎖鏈","Zincir"
